guid（新生产链路）,ID（旧生产链路）,学科,年级,册次,章节,课程名称,内容类型,一句话介绍,url,其它tab,,学名确认版,url确认版,封面压图压缩前url,封面压图压缩后url
7dfd14d5f82c47fc85d060901a9a7096,,语文,一年级,下册,第三单元,赠汪伦,古诗词,桃花潭水深千尺，不及汪伦送我情,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_3c83856d4f6bf1fdc76358f937f325d7_topxise.jpg,必背古诗;教材精讲,,赠汪伦,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9128710320ca00ed459c7f77fbb8e78e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c276158994b8c4a0d216b2d5eff102f9.png,https://cdn-private.sm.cn/souti-imgs-lasting/c276158994b8c4a0d216b2d5eff102f9.jpg
84909db961a04937ba32547edb247b6b,,语文,一年级,下册,第二单元,吃水不忘挖井人,课文,石碑上的14个字，为何能让几代人铭记？,https://cdn-private.sm.cn/souti-imgs-lasting/126a3b6da44840b79bc3355e237f3564.jpg,教材精讲,,吃水不忘挖井人,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f3ff798082a144944de3b68b17e7153f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/fc3d56e0e73c496239cb9760564a0a26.png,https://cdn-private.sm.cn/souti-imgs-lasting/fc3d56e0e73c496239cb9760564a0a26.jpg
0d231d3fd8fc4eb3b5ae2f6e51f30c2d,,语文,一年级,下册,第二单元,寻隐者不遇,古诗词,全诗无“问”字，却藏着三次顶级交锋。,https://cdn-private.sm.cn/souti-imgs-lasting/7dedc8349cea2338c67e96c75263e193_topxise.jpg,必背古诗;教材精讲,,寻隐者不遇,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c08155e6932dabf69aeac9fc61903c99.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0a9ad78312dc9305a3b3942b7b0caa3a.png,https://cdn-private.sm.cn/souti-imgs-lasting/0a9ad78312dc9305a3b3942b7b0caa3a.jpg
70bc2201964e45acade60812498180e4,,语文,一年级,下册,第二单元,快乐的节日,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1268f12db52bcdd69fc6852b4c4686a1_topxise.jpg,教材精讲,,快乐的节日,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_63bbd6359dcb94ebdd90ef2b6ed02e4b.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/1146f3b9eeb9a3fb4611837891b0ee7c.png,https://cdn-private.sm.cn/souti-imgs-lasting/1146f3b9eeb9a3fb4611837891b0ee7c.jpg
08b88d706dcd4e83a5cfd22c4749a2ed,,语文,一年级,下册,第二单元,我多想去看看,课文,沿着弯弯的小路走，尽头是哪里？,https://cdn-private.sm.cn/souti-imgs-lasting/ca57f9c61e994fa486200b975d9458d5_topxise.jpg,教材精讲,,我多想去看看,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_772bcd64fcb2c5ede59b3ea60cd3626e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e2ae159073f9891ab612b261e22a7990.png,https://cdn-private.sm.cn/souti-imgs-lasting/e2ae159073f9891ab612b261e22a7990.jpg
6c3db7d4c3d64853994e3652d856279c,,语文,一年级,下册,第二单元,热爱中国共产党,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/74364988046221ec047d1444db09de16_topxise.jpg,教材精讲,,热爱中国共产党,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f6cd4973216a5e744d5bcf965fd0d84f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a7d4e19342608bd912ef02af76dfc792.png,https://cdn-private.sm.cn/souti-imgs-lasting/a7d4e19342608bd912ef02af76dfc792.jpg
029ad64426f4409cb9b9c7459cf56eb8,,语文,一年级,下册,第五单元,人之初,课文,幼不学老何为？这六个字骂醒了多少人。,https://cdn-private.sm.cn/souti-imgs-lasting/98d87a8533c44496b96d8d3d13689674.jpg,教材精讲,,人之初,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_893d0bccd47557780809f233a34cb24a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/92b8460ff7314fc2c05dd38ca5a7a41d.png,https://cdn-private.sm.cn/souti-imgs-lasting/92b8460ff7314fc2c05dd38ca5a7a41d.jpg
4d4401abbad9483a81d62084403068d2,,语文,一年级,下册,第五单元,动物儿歌,课文,谁在花间忙着捉迷藏，谁在土里悄悄造宫殿？,https://cdn-private.sm.cn/souti-imgs-lasting/fde32317cc8442a7b2d34d4a60ecc49a.jpg,教材精讲,,动物儿歌,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e589fd2b1595b0833246ae85a5bb4725.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/dd6b3d0f72c6b141ea71a084b7205148.png,https://cdn-private.sm.cn/souti-imgs-lasting/dd6b3d0f72c6b141ea71a084b7205148.jpg
c3ca942af94d44fba924e3bc67c4d247,,语文,一年级,下册,第五单元,古对今,课文,这48个字，藏着老祖宗的顶级宇宙观。,https://cdn-private.sm.cn/souti-imgs-lasting/a7da04f7116a3d22b784ecb3c09d73d3_topxise.jpg,教材精讲,,古对今,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_52c4e9c72eab0f0d80c1e24d4b4c9d67.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f93f1f964c087c4e688c208ff4af3a7e.png,https://cdn-private.sm.cn/souti-imgs-lasting/f93f1f964c087c4e688c208ff4af3a7e.jpg
31227b29b75f48938c33e3383bd810b4,,语文,一年级,下册,第五单元,孙悟空打妖怪,课文,唐僧为啥总被骗？悟空一眼识破的秘密。,https://cdn-private.sm.cn/souti-imgs-lasting/3a6e2e30c630b91eedef4ccc68e77e8d_topxise.jpg,教材精讲,,孙悟空打妖怪,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2b71286c911b4676fb1689c90b9ed33c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b18e2ef79dc125927e9e68562c8b377b.png,https://cdn-private.sm.cn/souti-imgs-lasting/b18e2ef79dc125927e9e68562c8b377b.jpg
59fb0f511b164fc08b799f325eb77753,,语文,一年级,下册,第五单元,操场上,课文,,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_25dfae07b2c8a33ccf9624f3c7298dc0_topxise.jpg,教材精讲,,操场上,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9aa49dbb5c9549d3234f41c217350a2d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/87d01e7825754f9bc5233d9a26075736.png,https://cdn-private.sm.cn/souti-imgs-lasting/87d01e7825754f9bc5233d9a26075736.jpg
7cd764172b10479c9be2893f8765d05a,,语文,一年级,下册,第八单元,咕咚,课文,一声“咕咚”吓跑大象，怪物究竟长什么样？,https://cdn-private.sm.cn/souti-imgs-lasting/f4459385eedd2133e355e8ec014774e2_topxise.jpg,教材精讲,,咕咚,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_146efa7dd01f3b45fdb814d648c77acc.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4e08ba6cf3271f6c6d13b6616aa66f82.png,https://cdn-private.sm.cn/souti-imgs-lasting/4e08ba6cf3271f6c6d13b6616aa66f82.jpg
16561c3a47294e0a94ff44ab25b1b9fc,,语文,一年级,下册,第八单元,小壁虎借尾巴,课文,连找三位邻居都被拒，断尾壁虎怎么活？,https://cdn-private.sm.cn/souti-imgs-lasting/09aa82edc0ff41c29645c694695c7e5f.jpg,教材精讲,,小壁虎借尾巴,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_054b58eeb32bf3db60569771c77a8808.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e4e58ae8bcd9f1c7647c59f914e88a49.png,https://cdn-private.sm.cn/souti-imgs-lasting/e4e58ae8bcd9f1c7647c59f914e88a49.jpg
dd884ff9e46a46f98ce15e1da4180ca0,,语文,一年级,下册,第八单元,小熊住山洞,课文,这一家人宁愿一直住山洞也不盖房？！,https://cdn-private.sm.cn/souti-imgs-lasting/3a39012654f74ccfb2cd0253897b0585.jpg,教材精讲,,小熊住山洞,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1f75592fa9517dd0f47daa548c2aff2d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/5a89cb61ceb39e75b898b0c4c60acffd.png,https://cdn-private.sm.cn/souti-imgs-lasting/5a89cb61ceb39e75b898b0c4c60acffd.jpg
d3e364ab85174fac817126c27441fe57,,语文,一年级,下册,第八单元,棉花姑娘,课文,专抓害虫的青蛙，为什么对她说“不”？,https://cdn-private.sm.cn/souti-imgs-lasting/3115621974e35c1b7caba12bbdd2fd36_topxise.jpg,教材精讲,,棉花姑娘,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f4166c023a0c2ebcc096c5151ee46f93.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6e7935e4054b0585301cf25bcd8ea544.png,https://cdn-private.sm.cn/souti-imgs-lasting/6e7935e4054b0585301cf25bcd8ea544.jpg
7e731d42242a41699b02c9bca7a4c815,,语文,一年级,下册,第八单元,画鸡,古诗词,他画的鸡，凭什么一叫就能开千门万户？,https://cdn-private.sm.cn/souti-imgs-lasting/9480946723ce48e285e2966faa4f2dfb.jpg,必背古诗;教材精讲,,画鸡,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_b744b4854b8a49da1d31dde78305d23c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/010c3a67df270a6153d9aa7c2722aa90.png,https://cdn-private.sm.cn/souti-imgs-lasting/010c3a67df270a6153d9aa7c2722aa90.jpg
c375ee457db24b5e8b516b22a401d777,,语文,一年级,下册,第六单元,夏夜多美,课文,掉进池塘的蚂蚁为什么能坐“飞机”回家？,https://cdn-private.sm.cn/souti-imgs-lasting/f812c0ed7fcf44daa2d7288d6b967fa2.jpg,教材精讲,,夏夜多美,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_dec1dd745bc9bd2b9cf75369e4acf792.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/dd50f4cb88a1cdd1f2ba336a4cf0d138.png,https://cdn-private.sm.cn/souti-imgs-lasting/dd50f4cb88a1cdd1f2ba336a4cf0d138.jpg
6a5e27b1a1164698a3526868289d1fb1,,语文,一年级,下册,第六单元,小池,古诗词,初夏最美的一幕，就藏在这首诗中。,https://cdn-private.sm.cn/souti-imgs-lasting/b3faa73eea0347f78fd5a0f1c4533a03.jpg,必背古诗;教材精讲,,小池,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ddf3ec3db14597049c05e8a24f80bc25.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/9ed775657d0b6a2e6a2e33f690ccaa30.png,https://cdn-private.sm.cn/souti-imgs-lasting/9ed775657d0b6a2e6a2e33f690ccaa30.jpg
c2a4ee43c203490ba7ff06c1ffcadcc4,,语文,一年级,下册,第六单元,池上,古诗词,小娃偷采白莲，是什么暴露了他的行踪呢？,https://cdn-private.sm.cn/souti-imgs-lasting/f12c4ff3654a485eb76f84438b38a913.jpg,必背古诗;教材精讲,,池上,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6a139975120d5eb67ada9203c9274e6f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d57ffee1290ad5fc29508d4665862494.png,https://cdn-private.sm.cn/souti-imgs-lasting/d57ffee1290ad5fc29508d4665862494.jpg
f76ea7ccab8a4a4cafe183d0f5140616,,语文,一年级,下册,第六单元,浪花,课文,海边追逐的浪花，到底是顽皮还是温柔？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6b5818db961560d0998049fdb37316f9_topxise.jpg,教材精讲,,浪花,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_b6458508ea23f08127f6b854af6c93f1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/37aec701fb5af86a7743186c8829ee06.png,https://cdn-private.sm.cn/souti-imgs-lasting/37aec701fb5af86a7743186c8829ee06.jpg
df11e04999ec4264a863aacac7b27ef3,,语文,一年级,下册,第六单元,荷叶圆圆,课文,荷叶是怎么成为免费的停机坪的？,https://cdn-private.sm.cn/souti-imgs-lasting/1ae68d0c153b46019470b84d6a5d915c.jpg,教材精讲,,荷叶圆圆,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_acc2057cb8ec726db855f4deef4e6219.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a60701cccfbf16ac86bfc10775f4df53.png,https://cdn-private.sm.cn/souti-imgs-lasting/a60701cccfbf16ac86bfc10775f4df53.jpg
cbf4b680b5724982bba5ebcdef88f3dc,,语文,一年级,下册,第六单元,要下雨了,课文,动物们悄悄准备，因为它们知道一个秘密。,https://cdn-private.sm.cn/souti-imgs-lasting/0a068b51b83c4ca5a6dfec84554f8ed0.jpg,教材精讲,,要下雨了,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9d281fe1718e5c7e4188cbe032275521.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/16f419195205a64623306746b9bac1b2.png,https://cdn-private.sm.cn/souti-imgs-lasting/16f419195205a64623306746b9bac1b2.jpg
f2a4440215fd4b8ca5727f780657e6d7,,语文,一年级,下册,第四单元,夜色,课文,他从小就怕黑，后来为何变得如此勇敢？,https://cdn-private.sm.cn/souti-imgs-lasting/a572062f17174ad4a56c1549f18ff965.jpg,教材精讲,,夜色,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ab82b4b7a0c2ffe954c9dbeea327a62a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a014dbb666ea4d8c48787a124fad9e5e.png,https://cdn-private.sm.cn/souti-imgs-lasting/a014dbb666ea4d8c48787a124fad9e5e.jpg
a3242d20613243568c50b2fd9ebdbf33,,语文,一年级,下册,第四单元,端午粽,课文,连吃带拿分邻居，外婆的粽子有什么魔力？,https://cdn-private.sm.cn/souti-imgs-lasting/51073c4a3cb2d716e4daeff8ac71b3d1_topxise.jpg,教材精讲,,端午粽,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_74fb0def147417f98087bc0151a6c549.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e197a201004d039d29be46a4500d43b4.png,https://cdn-private.sm.cn/souti-imgs-lasting/e197a201004d039d29be46a4500d43b4.jpg
d001a6ce43d846ea8965a3a3542c008d,,语文,一年级,下册,第四单元,胖乎乎的小手,课文,这张胖小手的画作为什么让全家人都夸赞？,https://cdn-private.sm.cn/souti-imgs-lasting/416ce5457fdd4c559af4f5fc7016ffee.jpg,教材精讲,,胖乎乎的小手,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_96cbcd29032ab4d8e0153198ca4e4855.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d934e3531b287b20e5ac703855e9fb6c.png,https://cdn-private.sm.cn/souti-imgs-lasting/d934e3531b287b20e5ac703855e9fb6c.jpg
6a4ce8b1d2dd464b90ac2985fc792406,,语文,一年级,下册,第四单元,静夜思,古诗词,李白看到的真的只是月光吗？,https://cdn-private.sm.cn/souti-imgs-lasting/4e4de701e6b64a4796e250a83aa4e195.jpg,必背古诗;教材精讲,,静夜思,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_48f755abc77639ec67bb6bdb65012843.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0ce03d7b89d82ae4421a693f25a45efc.png,https://cdn-private.sm.cn/souti-imgs-lasting/0ce03d7b89d82ae4421a693f25a45efc.jpg
1f69b2383ab146b4b67e05949b3671ed,,语文,二年级,下册,第一单元,咏柳,古诗词,什么？柳条竟然是裁出来的？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_73baa4c3067ab9f08414d8ead870b0b8_topxise.jpg,必背古诗;教材精讲,,咏柳,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_77e99910fa236e930b28719bb2a589be.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c12faf20666b249dede082488639b1f8.png,https://cdn-private.sm.cn/souti-imgs-lasting/c12faf20666b249dede082488639b1f8.jpg
